tau,classification,iterations,final_kkt_distance,final_residual_norm,final_state_step,max_state_norm,tail_period_66_error,tail_66_oscillation
0.9000000000000000,converged_to_kkt_within_budget,208225,0.0000000000975930,0.0000000000068123,0.0000000000066510,100.2493726686619624,0.0000000000304703,0.0000000001040008
0.9050000000000000,converged_to_kkt_within_budget,241819,0.0000000000975327,0.0000000000068034,0.0000000000067064,100.2492080654892135,0.0000000000289442,0.0000000001039071
0.9100000000000000,converged_to_kkt_within_budget,287970,0.0000000000975667,0.0000000000068070,0.0000000000067459,100.2490434610824508,0.0000000000272461,0.0000000001016431
0.9150000000000000,converged_to_kkt_within_budget,355631,0.0000000000979606,0.0000000000068425,0.0000000000067600,100.2488788556780719,0.0000000000256302,0.0000000001022718
0.9200000000000000,converged_to_kkt_within_budget,463822,0.0000000000979920,0.0000000000068479,0.0000000000067942,100.2487142495125312,0.0000000000241188,0.0000000001033258
0.9250000000000000,not_resolved_within_budget,500000,0.0000000290696656,0.0000000016389716,0.0000000024990943,100.2485496428221978,0.0000000073837992,0.0000000337281781
0.9300000000000000,not_resolved_within_budget,500000,0.0000544875065942,0.0000028513095618,0.0000049942836954,100.2483850358434267,0.0000132608169291,0.0000649215626824
0.9350000000000001,not_resolved_within_budget,500000,0.1083758473985516,0.0066234919761605,0.0085719367979506,100.2482204288124876,0.0227441451772173,0.1192324069746057
0.9399999999999999,not_resolved_within_budget,500000,1.2508520558948735,0.0816816502915287,0.0908677652187178,100.2480558219657354,0.2329327289245096,1.3165555537299878
0.9450000000000000,not_resolved_within_budget,500000,1.2946917610841042,0.0901688184041052,0.0871056450941663,100.2478912155393544,0.2133441401520212,1.3040815543444637
0.9500000000000000,not_resolved_within_budget,500000,1.1546619081510745,0.0719960040024574,0.1047564097257309,100.2477266097695860,0.1936691109156431,1.3129335872044463
