tau,local_01_spectral_radius,classification,iterations,final_kkt_distance,final_residual_norm,final_state_step,max_state_norm,tail_period_66_error,tail_66_oscillation
1.0000000000000000,1.0001837218381477,period_66_detected,132,1.2782631859055780,0.0900357788267663,0.0963293447747621,100.2460806401295628,0.0000000000000473,1.3007579208071960
0.9999000000000000,1.0001834415787940,not_resolved_within_budget,200000,1.1574364614247716,0.0618806750785712,0.1060124265259113,100.2466064144401798,0.0004836617503890,1.3009883043320991
0.9990000000000000,1.0001809179254197,not_resolved_within_budget,200000,1.0599484295661965,0.0499039959282221,0.1189618247961585,100.2465484112928209,0.0039437517787672,1.3016130317958894
0.9950000000000000,1.0001696728936258,not_resolved_within_budget,200000,1.1107578216054734,0.0521542096146650,0.1099892080028512,100.2463428714201541,0.0192372464704018,1.2990828769473723
0.9900000000000000,1.0001555501933117,not_resolved_within_budget,200000,1.2941650396976168,0.0897159796412458,0.0911450517274641,100.2464098155845136,0.0383977650311856,1.3010754758535568
0.9800000000000000,1.0001270814813314,not_resolved_within_budget,200000,1.0342379220671614,0.0334118355664526,0.1161160167261781,100.2467390021637783,0.0771903592780018,1.3083694497950535
0.9500000000000000,1.0000398510885815,not_resolved_within_budget,200000,1.1280722255164009,0.0586636213709006,0.1042544557138141,100.2477266097695860,0.1936687645785624,1.3135145285020895
0.9000000000000000,0.9998881213912144,not_resolved_within_budget,200000,0.0000000002075469,0.0000000000117080,0.0000000000204389,100.2493726686619624,0.0000000000760122,0.0000000002593874
0.8000000000000000,0.9995586587057562,converged_to_kkt_within_budget,52844,0.0000000000834717,0.0000000000051905,0.0000000000070229,100.2526641085169388,0.0000000000627271,0.0000000001065455
0.7000000000000000,0.9991897167540386,converged_to_kkt_within_budget,28831,0.0000000000614657,0.0000000000020446,0.0000000000073274,100.2579732060964517,0.0000000000956279,0.0000000001071057
0.6000000000000000,0.9987741353917954,converged_to_kkt_within_budget,19081,0.0000000000540088,0.0000000000010889,0.0000000000066560,100.2634647819032949,0.0000000001243163,0.0000000000970463
0.5000000000000000,0.9983025723406469,converged_to_kkt_within_budget,13795,0.0000000000654843,0.0000000000037463,0.0000000000051505,100.2706008173211956,0.0000000001563891,0.0000000001032978
0.4000000000000000,0.9977624856805509,converged_to_kkt_within_budget,10496,0.0000000000817875,0.0000000000057252,0.0000000000025620,100.2794016995508741,0.0000000001775220,0.0000000001018608
0.3000000000000000,0.9971364255187350,converged_to_kkt_within_budget,8235,0.0000000000587973,0.0000000000038742,0.0000000000030126,100.2918930292507156,0.0000000002182859,0.0000000001129336
0.2000000000000000,0.9963989660098330,converged_to_kkt_within_budget,6530,0.0000000000350450,0.0000000000016591,0.0000000000034513,100.3098752401832741,0.0000000002832719,0.0000000001234923
0.1000000000000000,0.9955106838369780,converged_to_kkt_within_budget,5258,0.0000000000652746,0.0000000000045457,0.0000000000016606,100.3410785101239213,0.0000000001883033,0.0000000000945715
0.0500000000000000,0.9949908621178265,converged_to_kkt_within_budget,4742,0.0000000000635290,0.0000000000044622,0.0000000000004170,100.3696069188418676,0.0000000001214601,0.0000000000665818
0.0200000000000000,0.9946481776995099,converged_to_kkt_within_budget,4474,0.0000000000141145,0.0000000000008917,0.0000000000007862,100.3972905777319937,0.0000000000798200,0.0000000000404923
0.0100000000000000,0.9945280747271502,converged_to_kkt_within_budget,4385,0.0000000000047936,0.0000000000000071,0.0000000000006652,100.4083643626128435,0.0000000000894451,0.0000000000374804
